<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	287.50	289.00	287.50	289.00	151	0	0
2000.01.04	283.62	291.50	279.45	282.00	2249	0	0
2000.01.05	282.00	283.95	279.25	281.10	851	0	0
2000.01.06	280.55	283.60	278.70	281.70	866	0	0
2000.01.07	280.88	283.80	280.15	282.00	619	0	0
2000.01.10	281.15	283.00	280.51	282.00	414	0	0
2000.01.11	281.50	284.50	280.25	283.70	631	0	0
2000.01.12	282.50	283.55	281.00	282.80	481	0	0
2000.01.13	281.13	285.30	281.00	284.50	524	0	0
2000.01.14	284.00	285.68	282.65	284.60	547	0	0
2000.01.17	283.80	287.40	282.40	285.75	806	0	0
2000.01.18	285.15	289.30	284.70	289.10	526	0	0
2000.01.19	286.65	289.70	286.50	289.70	336	0	0
2000.01.20	289.10	290.25	286.90	288.95	656	0	0
2000.01.21	288.20	290.10	286.55	289.50	581	0	0
2000.01.24	287.00	289.77	286.00	288.00	655	0	0
2000.01.25	287.00	291.50	285.50	286.50	1151	0	0
2000.01.26	287.50	288.10	284.15	286.55	696	0	0
2000.01.27	284.90	287.80	284.90	287.60	311	0	0
2000.01.28	285.50	288.45	280.30	282.75	1356	0	0
2000.01.31	281.60	287.65	281.60	283.90	981	0	0
2000.02.01	283.30	284.70	282.00	282.90	501	0	0
2000.02.02	281.50	287.20	281.50	285.20	771	0	0
2000.02.03	284.65	288.50	283.40	287.40	746	0	0
2000.02.04	287.50	315.80	285.45	310.80	3741	0	0
2000.02.07	313.00	327.00	301.00	304.00	4301	0	0
2000.02.08	302.00	307.00	294.80	300.10	2251	0	0
2000.02.09	300.50	312.50	298.20	307.70	2141	0	0
2000.02.10	307.00	317.65	307.00	317.45	1086	0	0
2000.02.11	315.35	318.75	307.20	311.15	1891	0	0
2000.02.14	310.35	316.75	304.75	309.65	2331	0	0
2000.02.15	306.75	309.75	300.00	302.50	1526	0	0
2000.02.16	302.05	306.00	297.00	303.50	1656	0	0
2000.02.17	301.50	310.50	297.30	301.50	2641	0	0
2000.02.18	300.10	306.30	299.80	305.75	736	0	0
2000.02.21	303.40	307.50	302.75	306.25	666	0	0
2000.02.22	305.75	306.75	300.95	305.70	1156	0	0
2000.02.23	304.30	306.62	299.30	300.80	1115	0	0
2000.02.24	300.80	302.70	297.45	299.10	881	0	0
2000.02.25	297.80	299.75	291.10	294.50	1401	0	0
2000.02.28	291.25	294.50	290.75	293.20	556	0	0
2000.02.29	292.10	295.35	291.30	292.70	751	0	0
2000.03.01	291.70	294.88	288.25	289.80	1137	0	0
2000.03.02	288.70	294.00	287.00	289.25	1346	0	0
2000.03.03	287.38	292.00	286.88	289.00	863	0	0
2000.03.06	288.00	290.88	287.20	288.40	697	0	0
2000.03.07	287.25	294.55	287.00	293.70	866	0	0
2000.03.08	293.00	294.70	287.50	288.50	991	0	0
2000.03.09	289.00	294.00	287.50	291.70	1031	0	0
2000.03.10	290.70	293.75	287.90	289.50	1051	0	0
2000.03.13	290.00	292.65	288.60	290.90	721	0	0
2000.03.14	290.00	292.50	287.55	289.40	931	0	0
2000.03.15	288.50	291.70	287.60	289.50	721	0	0
2000.03.16	288.60	290.25	284.90	287.00	911	0	0
2000.03.17	285.90	287.85	282.40	285.10	1011	0	0
2000.03.20	282.80	287.05	282.80	286.40	491	0	0
2000.03.21	285.10	292.15	283.25	290.20	1271	0	0
2000.03.22	289.30	291.40	284.50	288.50	1301	0	0
2000.03.23	287.00	290.60	282.35	285.70	1521	0	0
2000.03.24	285.30	288.25	283.50	285.50	931	0	0
2000.03.27	284.50	285.85	279.80	281.10	871	0	0
2000.03.28	280.30	283.00	278.70	280.50	841	0	0
